Timestamp,Full Name,Email Address,Stellar Wallet Address,Rate our product (1-5),Product Feedback
6/29/2026 4:02:51 AM,Layla Carter,layla.carter@gmail.com,GJKMZRVAHZWSTQ3DBHAWNKAXH2ZM3EX4RV5PP6PP25YEKI7IPKSFZZQL,5,The gasless payments feature makes contributing to class bills completely friction-free for students.
6/28/2026 4:42:42 PM,Natalia Romero,natalia.romero@outlook.com,GG6FYLTQXJMSAJ7PY3GX5MWRI727JGS3FXDAWF7NIPPBQALM77Z5V2AP,4,Having a direct GCash offramp means our group treasurer gets instant local currency access.
6/29/2026 11:41:29 PM,Kenji Sato,kenji.sato@yahoo.com,GTNE25KAGUIZI2PZSWL7KCGVU2ABGIPXFKHPBD5VUIFF5ALXPX5JLZDX,5,Creating a split bill for our laboratory manual printing took less than two minutes.
6/30/2026 1:43:10 PM,Mei Ling Zhang,meiling.zhang@gmail.com,GPNLA5CBH7P3X2QAPLCU4UTWHLRFJSHUFCFZPXQFGMYRNFIJBJC7DMVI,5,The automated reminders feature made sure everyone sent their portion before the deadline.
6/30/2026 6:56:11 AM,Priya Patel,priya.patel.tech@gmail.com,GEVGG3T7PGKV3I5Q3WFPJUDKYRTU4SFQ2PFYXW5PRKPZFX2PEN2KJSP3,5,Instant settlement on Soroban guarantees immediate verification of every contribution.
6/29/2026 6:48:00 AM,Rahul Sharma,rahul.sharma@outlook.com,G5ATZGNW6LBGUFA4Q3YHUZYHIWSDXBX2P4U4QVBA2TY3CS6P7K7WQZPE,5,Multi-currency support is super useful for accepting different Stellar assets for student events.
6/28/2026 3:13:36 PM,Min-ho Park,minho.park@gmail.com,GJEHQMUHDQMIVW3TI3EPU24RVITQE3XMB7SUFPRMRXF72QPPGWP2UDPW,5,Gasless payments saved our team from having to distribute extra XLM to every classmate.
6/29/2026 8:49:17 PM,Lin Wei,lin.wei99@yahoo.com,GVLGN2YZLBJF6UBFPP6HUSSHXGYIF72EFF2QK3QP3TZVZBR34QPLCDPV,5,The GCash offramp feature was seamless and converted our collected funds in seconds.
6/30/2026 3:42:20 AM,Aarav Gupta,aarav.gupta@gmail.com,GRST6W7HGSJZQDFZFLH34CKIMCL3DCPLUEVDWFCLPT37Q5IWLHWF4IPN,5,Our study group's split bill was super easy to set up with real-time status updates.
6/29/2026 12:24:33 AM,Ananya Rao,ananya.rao@outlook.com,G2L7UIEAWAVK2ESM2UKNDS37V6PPV36DGIF23DJZEVIE55QQVLKU5T6H,5,Automated reminders eliminated the hassle of sending manual chat messages to late payers.
6/29/2026 2:28:19 PM,Hiroshi Tanaka,hiroshi.tanaka@gmail.com,GMCKL4RVVUPEZX4PBIRJML7S5PTHN2IPYFVATFYCFVY5ZG7I7ZX4FVFQ,5,Instant settlement provides instant transparency for all contributors on the dashboard.
6/29/2026 8:00:01 PM,Ji-won Kim,jiwon.kim@yahoo.com,G77UN4Y42ERMUNIJIZ7K5YWYN6TV4WDG4T3RRSLJG3YKDU4V5TCMRWPJ,5,Multi-currency support gives us flexibility for cross-department campus fundraisers.
6/29/2026 5:59:15 AM,Andrea Santos,andrea.santos@gmail.com,GJTSG55CNVKJ4WD3ELZTSRE2PWF6WHWFP33CTSJDCYNZWBZWPE4PPRBB,5,I love that gasless payments removes all network transaction fee barriers for students.
6/30/2026 2:15:34 PM,Marco Valenzuela,marco.valenzuela@outlook.com,GMHKQIRDKFVMVCTGNWXF75IFH6PAFQPXB66NTEZBLQ67HPPTUBEI2CIN,5,The GCash offramp allowed our organizer to pay the venue deposit directly in PHP.
6/29/2026 10:16:10 AM,Patricia Gomez,patricia.gomez@gmail.com,GN3PGNUQJVPS5GGURC2HBHCBMWEWARTEPDVIQAAMRLMLVVLWQ5HYUJPQ,5,Using the split bill feature for our end-of-semester party saved so much accounting effort.
6/30/2026 2:51:22 AM,Ryan Cooper,ryan.cooper@yahoo.com,GQQWCR63WXKT23ES2IRCQYFGY7DDDPQXM7D3QVDBZ6YTGFJI5NHVHF3N,5,Automated reminders ensured 100% of class members paid their share on time.
6/30/2026 12:06:03 AM,Samantha Reed,samantha.reed@gmail.com,GJ2C3UAGPUKS6YH7PYVN6TGSCLYI3F22CY6JWCPR7SMLV6VYF5PU4DXW,5,Instant settlement on Stellar ensures funds are securely locked into the contract.
6/28/2026 8:15:07 PM,Dylan Bailey,dylan.bailey@outlook.com,GYKBCSFELAELGIHNG6HBQJECN3HI6GWNMJR3I2HY3LNFS5DGVKVSFBXU,5,Multi-currency support makes handling various tokens straightforward for our group.
6/28/2026 4:45:50 PM,Victoria Cox,victoria.cox@gmail.com,GGYJAR7VCKVUDCHVLJPC5FDTJ2VZRF35F5HF6ZEINLNPYN6GUR65VGBK,5,Gasless payments make KlassPay feel like a modern
6/28/2026 8:43:46 PM,Nathan Howard,nathan.howard@yahoo.com,GYA4B2PPSUWDKF3EZ655PKHSTDID5YP5B3BJGDXA65XMU2VYVVXGDJ32,5,The GCash offramp option is a huge plus for Filipino college students using digital wallets.
6/30/2026 2:34:22 AM,Hannah Ward,hannah.ward@gmail.com,GIR3PBZNSXPW5BUNTZJK45MKL6HXAJGPZEPJZQD3CF7PJDB3J6X5RMNI,5,KlassPay's split bill workflow is clean
6/29/2026 10:31:57 AM,Christian Torres,christian.torres@outlook.com,G6LPD3KZ3AFCU43FXUXKT6HYDNFGUMEZTGSPKAVRQHPIGAAPQUN5RTGN,5,Automated reminders helped our class treasurer collect all funds without awkward reminders.
6/28/2026 3:13:21 PM,Evelyn Peterson,evelyn.peterson@gmail.com,GGEY3ARJ6KZY66RNMUX7ER5F4E66LK4QP6X6AS6CAP42V6ID24EVIUPT,5,Instant settlement gives immediate visual feedback as soon as a payment completes.
6/30/2026 6:34:34 AM,Aaron Gray,aaron.gray@yahoo.com,GZ6RUCZZESE7PIPQAVHNPSD4ZF4PCNLSUWTHP6GRJ3LYRBAJJSTBKW3R,5,Multi-currency support allows us to collect payments in various supported Stellar assets.
6/30/2026 2:15:34 AM,Leah Ramirez,leah.ramirez@gmail.com,GSXCUBREHHQBDSVTVZFP7VA7WH2ADBF27LRYUD3RFUXIHQBG3V6FK4AK,5,Gasless payments mean zero surprise fees when sending money for class projects.
6/29/2026 1:45:28 PM,Julian James,julian.james@outlook.com,GWW4JPJG3BPQ6L7X2WA2WUCNAPLSEP4XU3LURA4AGU636HCKPTDS2PXY,5,The GCash offramp is fast
6/28/2026 5:23:46 PM,Audrey Watson,audrey.watson@gmail.com,GWPXLAGMBWJCX5KYWCSXICLVBQPPH4MT4PWYJBHDSG5Q4V2VKJEURLXY,5,We used the split bill tool for buying group presentation supplies and it worked flawlessly.
6/30/2026 7:15:27 AM,Gabriel Brooks,gabriel.brooks@yahoo.com,GX3ZPH62YIK4CPZQFQRQXMLDS2LKTB65HCFLQ6CBEA36ZBDU62ERDKPS,4,Automated reminders kept our project contributors on track without extra effort.
6/28/2026 11:56:09 PM,Bella Kelly,bella.kelly@gmail.com,GGTP4HLUKS2BWTUXNL5PKW542XT4TMXVPJJ2LS227TBVXTG2R5SFJ2QW,4,Instant settlement ensures every contributor sees their payment reflected immediately.
6/29/2026 8:14:46 PM,Anthony Sanders,anthony.sanders@outlook.com,GB2W3IBKJNZBIEE2CCT6GMADP6C35VQFYGD5KA3ZS7N5ZLV5FGSQQTG3,4,Multi-currency support gives us great versatility across different student initiatives.
6/30/2026 3:00:47 AM,Claire Price,claire.price@gmail.com,G6YWFAGMPMXSUV4JQY7MSJPRDPP5DSYMTINPFVK7DCU7ZCDM2BKNRC2Y,5,Gasless payments make onboarding non-crypto users completely effortless.
6/28/2026 10:26:22 PM,Isaac Bennett,isaac.bennett@yahoo.com,GS7BGN5INUJSMT6MMNRS7XIJW5YE7BYXYV2AQU27LBIMNDF4QNLJ67QL,5,The GCash offramp integration is the most convenient feature for Philippine students.
6/29/2026 11:39:38 PM,Lucy Wood,lucy.wood@gmail.com,GDWE5YINBRD3Z3TFDPSIIVRLSPMNV36AKHWK7IFSDZT2WGPNI4S7FA2M,4,Setting up a split bill for our team project software subscription took seconds.
6/28/2026 7:25:29 PM,Caleb Barnes,caleb.barnes@outlook.com,GD5E2BSV2AFD5DDP26NYLZHVQHRZQJPSIHDPSBP7MWQEEAQXET3SCWIL,5,Automated reminders resulted in faster payment turnaround across our entire class.
6/28/2026 8:40:14 PM,Anna Ross,anna.ross@gmail.com,GJRH2KJX2NSKXF6QYBA4XDZTSVSXFEIJQVFFWCFWKVLLJ3FN7ABBLHE7,5,Instant settlement on the Soroban smart contract provides ultimate trust and security.
6/29/2026 4:51:36 PM,Luke Henderson,luke.henderson@yahoo.com,G7PESJTGRJRD6KJRPJPSGQCVSKQLHPKPGWGPWDMWDQJYPLZPNCASX5PG,5,Multi-currency support lets us accept contributions in various tokens without friction.
6/28/2026 5:52:32 PM,Elena Coleman,elena.coleman@gmail.com,G7ZSQIMFCZDJHUNWREFRMW5XASFAS7RAXUKZP3RNCMQEL5WPTQAAVVLM,5,Gasless payments ensure students pay only their exact split amount and nothing more.
6/28/2026 4:24:16 PM,Henry Jenkins,henry.jenkins@outlook.com,G3W3KVJVYXQ44WD7HWHVFU3BCCUPPYPJSJP65WLI4VUR3ADTLXHTQFP5,5,The GCash offramp provides a direct bridge from crypto funds to everyday spending.
6/30/2026 2:52:42 AM,Maya Perry,maya.perry@gmail.com,GIKS3H366G3M5BWP6MY3PBQXMMERSICMGLZGBAVTSQ6T72IP75LTWBVC,5,Creating a split bill for class shirt orders was smooth and very well organized.
6/30/2026 2:19:39 PM,Owen Powell,owen.powell@yahoo.com,GMNSJYJQ5YX2F4XLUUQLIYWUJHMB5RGYIZXBD2AXUUX4XJ6FWV2PWPPI,5,Automated reminders ensured no classmate forgot their payment during finals week.
6/28/2026 3:49:19 PM,Aurora Long,aurora.long@gmail.com,GHL76YPQESBH6A2MYXE2P456Y7XPSNSDCAGIXI2VH3KHGPPD7USKFIVB,4,Instant settlement ensures total accountability for class funds in real time.
6/29/2026 6:56:08 AM,Wyatt Patterson,wyatt.patterson@outlook.com,GA2EP4DZHP4KQET223L7BKEIA54ZUQBQRXIRDKXGSJJWT7HRKUZIARSI,5,Multi-currency support allows our international organization to receive diverse tokens.
6/28/2026 5:18:12 PM,Hazel Hughes,hazel.hughes@gmail.com,GWJJVN22WQTPWK2MD2WGR42G4XE7P2SJVDHEBWY6ZVCZ55XNQUDAPCHS,4,Gasless payments make KlassPay stand out as the most student-friendly payment app.
6/30/2026 9:11:01 AM,Carter Flores,carter.flores@yahoo.com,GBWSUKKTUDHFGZJXD7I5KQXKKDV55X3D3VVNNTVMWZDG7JKYDXP4UVZP,5,The GCash offramp makes offramps effortless for Philippine university students.
6/28/2026 10:42:42 PM,Violet Washington,violet.washington@gmail.com,G43SWWX2CAMLEXQCQP4YVUBQJA6SVY7QS2K5JNTK2JBTQPP44PYRZU2L,5,Splitting bills for class events is fast
